Dataset,Noise_Level_dB,Model,Mean_SER,Std_SER
4CSK,-20,FNN-1,0.7125,0.0612726715410531
4CSK,-22,FNN-1,0.7265625,0.0585792806208437
4CSK,-24,FNN-1,0.6671875,0.0580209268401401
4CSK,-26,FNN-1,0.625,0.0602908172020324
4CSK,-28,FNN-1,0.63125,0.0726184377413891
4CSK,-30,FNN-1,0.5671875,0.0880963064003758
4CSK,-32,FNN-1,0.475,0.041142536787774
4CSK,-34,FNN-1,0.45625,0.0855182322990575
4CSK,-36,FNN-1,0.38125,0.0671854812358213
4CSK,-38,FNN-1,0.2625,0.0649686088729695
4CSK,-40,FNN-1,0.190625,0.0395284707521047
4CSK,-42,FNN-1,0.128125,0.0569592629770513
4CSK,-44,FNN-1,0.065625,0.0335927406179106
4CSK,-46,FNN-1,0.0375,0.0449247055267663
4CSK,-48,FNN-1,0.0234375,0.0224018887162568
4CSK,-50,FNN-1,0.0203125,0.0195572743286652
4CSK,-52,FNN-1,0.01875,0.035933725647209
4CSK,-54,FNN-1,0.0171875,0.0392875461784294
4CSK,-56,FNN-1,0.0078125,0.0110485434560398
4CSK,-58,FNN-1,0.0078125,0.0198327424631873
4CSK,-60,FNN-1,0,0
8CSK,-20,FNN-3,0.8828125,0.0314662655562359
8CSK,-22,FNN-3,0.871875,0.0310759039378673
8CSK,-24,FNN-3,0.85,0.0521873960411473
8CSK,-26,FNN-3,0.85625,0.0402088730533725
8CSK,-28,FNN-3,0.8203125,0.0718863215720951
8CSK,-30,FNN-3,0.825,0.0327752765053172
8CSK,-32,FNN-3,0.775,0.0506039908395463
8CSK,-34,FNN-3,0.7265625,0.0506307867063114
8CSK,-36,FNN-3,0.6671875,0.0526273669961214
8CSK,-38,FNN-3,0.590625,0.0555121358103093
8CSK,-40,FNN-3,0.5171875,0.0502003365000895
8CSK,-42,FNN-3,0.46875,0.0658807845868412
8CSK,-44,FNN-3,0.365625,0.060380736442456
8CSK,-46,FNN-3,0.259375,0.0655505530106345
8CSK,-48,FNN-3,0.1859375,0.0468460558786851
8CSK,-50,FNN-3,0.146875,0.0679882036336697
8CSK,-52,FNN-3,0.0859375,0.0473070367827733
8CSK,-54,FNN-3,0.0890625,0.0612062272725941
8CSK,-56,FNN-3,0.05625,0.0449247055267663
8CSK,-58,FNN-3,0.028125,0.035933725647209
8CSK,-60,FNN-3,0.021875,0.0369754986443726
