Dataset,Feature_Set,Hidden_Layers,Mean_SER,Std_SER,Best_SER
4CSK,$T_{wCE}$,[10],0.125,0.03952847075210474,0.078125
4CSK,$T_{wCE}$,[25],0.1140625,0.0376624087287311,0.078125
4CSK,$T_{wCE}$,[100],0.1078125,0.0225888004606265,0.078125
4CSK,$T_{wCE}$,"[10, 10]",0.1234375,0.0421875,0.078125
4CSK,$T_{wCE}$,"[10, 10, 10]",0.1296875,0.03634282296754065,0.078125
4CSK,$T$,[10],0.3828125,0.043216614643560414,0.296875
4CSK,$T$,[25],0.2484375,0.030817317067681285,0.171875
4CSK,$T$,[100],0.21875,0.03277527650531724,0.15625
4CSK,$T$,"[10, 10]",0.3296875,0.0782654986648012,0.21875
4CSK,$T$,"[10, 10, 10]",0.3796875,0.039559340316163004,0.3125
4CSK,$C'$,[10],0.4921875,0.057727978755972395,0.4375
4CSK,$C'$,[25],0.3703125,0.06519576889070333,0.25
4CSK,$C'$,[100],0.3296875,0.039805435008928115,0.265625
4CSK,$C'$,"[10, 10]",0.471875,0.06547602137424051,0.296875
4CSK,$C'$,"[10, 10, 10]",0.446875,0.04204257514710535,0.375
4CSK,$c'$,[10],0.190625,0.05711145900780333,0.109375
4CSK,$c'$,[25],0.1890625,0.06189156975105737,0.078125
4CSK,$c'$,[100],0.1875,0.05367363761661771,0.09375
4CSK,$c'$,"[10, 10]",0.2046875,0.06228478571248359,0.125
4CSK,$c'$,"[10, 10, 10]",0.20625,0.06123724356957946,0.109375
4CSK,$C'_{wCE}$,[10],0.1265625,0.04444207079164966,0.078125
4CSK,$C'_{wCE}$,[25],0.121875,0.04180965050081142,0.078125
4CSK,$C'_{wCE}$,[100],0.1234375,0.03918730063745142,0.078125
4CSK,$C'_{wCE}$,"[10, 10]",0.128125,0.04238956239453293,0.078125
4CSK,$C'_{wCE}$,"[10, 10, 10]",0.128125,0.03940475066537028,0.078125
4CSK,$c'_{wCE}$,[10],0.1765625,0.04690103443688636,0.109375
4CSK,$c'_{wCE}$,[25],0.178125,0.05598897770990287,0.09375
4CSK,$c'_{wCE}$,[100],0.16875,0.051253810833927264,0.078125
4CSK,$c'_{wCE}$,"[10, 10]",0.18125,0.053764532919016415,0.09375
4CSK,$c'_{wCE}$,"[10, 10, 10]",0.1921875,0.056789943266832024,0.109375
8CSK,$T_{wCE}$,[10],0.0921875,0.025626905416963632,0.0625
8CSK,$T_{wCE}$,[25],0.090625,0.019515618744994995,0.0625
8CSK,$T_{wCE}$,[100],0.0921875,0.02746624348632335,0.0625
8CSK,$T_{wCE}$,"[10, 10]",0.1015625,0.02445699350390395,0.0625
8CSK,$T_{wCE}$,"[10, 10, 10]",0.103125,0.04204257514710535,0.03125
8CSK,$T$,[10],0.471875,0.06658523672707037,0.375
8CSK,$T$,[25],0.4609375,0.02543565718140579,0.421875
8CSK,$T$,[100],0.45625,0.058379817788341885,0.359375
8CSK,$T$,"[10, 10]",0.5671875,0.0541491357848858,0.4375
8CSK,$T$,"[10, 10, 10]",0.6109375,0.06069663937360947,0.484375
8CSK,$C'$,[10],0.6046875,0.039559340316163004,0.515625
8CSK,$C'$,[25],0.528125,0.06434768838116875,0.375
8CSK,$C'$,[100],0.5875,0.043750000000000004,0.5
8CSK,$C'$,"[10, 10]",0.590625,0.03109335740958187,0.53125
8CSK,$C'$,"[10, 10, 10]",0.628125,0.049804304532841334,0.53125
8CSK,$c'$,[10],0.1140625,0.03566472565785415,0.0625
8CSK,$c'$,[25],0.11875,0.03903123748998999,0.0625
8CSK,$c'$,[100],0.115625,0.0350780380010057,0.0625
8CSK,$c'$,"[10, 10]",0.1328125,0.0390625,0.078125
8CSK,$c'$,"[10, 10, 10]",0.134375,0.032173844190584375,0.078125
8CSK,$C'_{wCE}$,[10],0.1421875,0.038559258372665835,0.0625
8CSK,$C'_{wCE}$,[25],0.1140625,0.03566472565785415,0.03125
8CSK,$C'_{wCE}$,[100],0.1171875,0.03369352914507473,0.046875
8CSK,$C'_{wCE}$,"[10, 10]",0.10625,0.041221581119602876,0.03125
8CSK,$C'_{wCE}$,"[10, 10, 10]",0.10625,0.03408972535823661,0.046875
8CSK,$c'_{wCE}$,[10],0.109375,0.04133986423538423,0.046875
8CSK,$c'_{wCE}$,[25],0.109375,0.038273277230987154,0.0625
8CSK,$c'_{wCE}$,[100],0.1125,0.044083549936455885,0.046875
8CSK,$c'_{wCE}$,"[10, 10]",0.1234375,0.03081731706768128,0.078125
8CSK,$c'_{wCE}$,"[10, 10, 10]",0.121875,0.029481191037676886,0.078125
