Dataset,Noise_Level_dB,Model,Mean_SER,Std_SER
4CSK,-20,FNN,0.671875,0.03890593624371479
4CSK,-20,KAN,0.66875,0.04180965050081142
4CSK,-20,MLE,0.7427201867103577,0.0
4CSK,-22,FNN,0.68125,0.043750000000000004
4CSK,-22,KAN,0.6609375,0.03766240872873109
4CSK,-22,MLE,0.7305575609207153,0.0
4CSK,-24,FNN,0.640625,0.051348989766109326
4CSK,-24,KAN,0.6171875,0.05814935645602624
4CSK,-24,MLE,0.7207919359207153,0.0
4CSK,-26,FNN,0.615625,0.050967207594687786
4CSK,-26,KAN,0.5796875,0.04160477173654484
4CSK,-26,MLE,0.6970880627632141,0.0
4CSK,-28,FNN,0.571875,0.05598897770990287
4CSK,-28,KAN,0.5140625,0.07276956888871887
4CSK,-28,MLE,0.6709872484207153,0.0
4CSK,-30,FNN,0.5484375,0.056961644167369326
4CSK,-30,KAN,0.4921875,0.02445699350390395
4CSK,-30,MLE,0.6320134997367859,0.0
4CSK,-32,FNN,0.5328125,0.0433294519495689
4CSK,-32,KAN,0.4109375,0.05504348423065168
4CSK,-32,MLE,0.5720880627632141,0.0
4CSK,-34,FNN,0.4875,0.05493248697264671
4CSK,-34,KAN,0.346875,0.042961647140211
4CSK,-34,MLE,0.5100319981575012,0.0
4CSK,-36,FNN,0.4671875,0.08102432601540108
4CSK,-36,KAN,0.2609375,0.0271083618326523
4CSK,-36,MLE,0.4210759997367859,0.0
4CSK,-38,FNN,0.4796875,0.0702430212280907
4CSK,-38,KAN,0.1984375,0.03700849775727191
4CSK,-38,MLE,0.31551846861839294,0.0
4CSK,-40,FNN,0.4875,0.0375
4CSK,-40,KAN,0.134375,0.04430452149611821
4CSK,-40,MLE,0.2345525622367859,0.0
4CSK,-42,FNN,0.4375,0.09322771181360186
4CSK,-42,KAN,0.0609375,0.029189908894170943
4CSK,-42,MLE,0.1560724526643753,0.0
4CSK,-44,FNN,0.4515625,0.08102432601540109
4CSK,-44,KAN,0.01875,0.011692679333668566
4CSK,-44,MLE,0.09499289840459824,0.0
4CSK,-46,FNN,0.4421875,0.09402303989581488
4CSK,-46,KAN,0.00625,0.007654655446197432
4CSK,-46,MLE,0.05149148032069206,0.0
4CSK,-48,FNN,0.4359375,0.09843750000000001
4CSK,-48,KAN,0.0,0.0
4CSK,-48,MLE,0.02965199016034603,0.0
4CSK,-50,FNN,0.4359375,0.0974403864229304
4CSK,-50,KAN,0.0,0.0
4CSK,-50,MLE,0.01260653417557478,0.0
4CSK,-52,FNN,0.3890625,0.11533959708725361
4CSK,-52,KAN,0.0,0.0
4CSK,-52,MLE,0.004527699202299118,0.0
4CSK,-54,FNN,0.4234375,0.11363361147235443
4CSK,-54,KAN,0.0,0.0
4CSK,-54,MLE,0.0008877841173671186,0.0
4CSK,-56,FNN,0.4453125,0.09863571313804144
4CSK,-56,KAN,0.0,0.0
4CSK,-56,MLE,8.877841173671186e-05,0.0
4CSK,-58,FNN,0.425,0.11456439237389598
4CSK,-58,KAN,0.0,0.0
4CSK,-58,MLE,0.0,0.0
4CSK,-60,FNN,0.4453125,0.09863571313804144
4CSK,-60,KAN,0.0,0.0
4CSK,-60,MLE,0.0,0.0
8CSK,-20,FNN,0.8265625,0.016312978920172732
8CSK,-20,KAN,0.803125,0.025387620014487376
8CSK,-20,MLE,0.868785560131073,0.0
8CSK,-22,FNN,0.8171875,0.030498783274911147
8CSK,-22,KAN,0.7828125,0.0410137648387709
8CSK,-22,MLE,0.8630149364471436,0.0
8CSK,-24,FNN,0.8265625,0.02465583412196797
8CSK,-24,KAN,0.803125,0.03576725981956124
8CSK,-24,MLE,0.8589311242103577,0.0
8CSK,-26,FNN,0.8078125,0.012203515118604147
8CSK,-26,KAN,0.78125,0.03423265984407288
8CSK,-26,MLE,0.8469460606575012,0.0
8CSK,-28,FNN,0.7984375,0.029189908894170943
8CSK,-28,KAN,0.753125,0.022963966338592292
8CSK,-28,MLE,0.8322976231575012,0.0
8CSK,-30,FNN,0.7734375,0.03441049303991444
8CSK,-30,KAN,0.7390625,0.02799448885495143
8CSK,-30,MLE,0.8015802502632141,0.0
8CSK,-32,FNN,0.765625,0.04307515235028194
8CSK,-32,KAN,0.70625,0.0375
8CSK,-32,MLE,0.782848060131073,0.0
8CSK,-34,FNN,0.740625,0.05048592006688597
8CSK,-34,KAN,0.6734375,0.05566097853299024
8CSK,-34,MLE,0.7336648106575012,0.0
8CSK,-36,FNN,0.6875,0.03202172114362375
8CSK,-36,KAN,0.6375,0.03336586953759785
8CSK,-36,MLE,0.673473060131073,0.0
8CSK,-38,FNN,0.6390625,0.03455210060546247
8CSK,-38,KAN,0.51875,0.03684320663297374
8CSK,-38,MLE,0.6141690611839294,0.0
8CSK,-40,FNN,0.6421875,0.029189908894170943
8CSK,-40,KAN,0.45625,0.0549324869726467
8CSK,-40,MLE,0.5352450609207153,0.0
8CSK,-42,FNN,0.61875,0.0125
8CSK,-42,KAN,0.3453125,0.039805435008928115
8CSK,-42,MLE,0.4469105303287506,0.0
8CSK,-44,FNN,0.621875,0.009375
8CSK,-44,KAN,0.2671875,0.054329183283480346
8CSK,-44,MLE,0.3615056872367859,0.0
8CSK,-46,FNN,0.60625,0.03814548629916782
8CSK,-46,KAN,0.1640625,0.0358013726168425
8CSK,-46,MLE,0.26322799921035767,0.0
8CSK,-48,FNN,0.6203125,0.0140625
8CSK,-48,KAN,0.09375,0.02614562582918986
8CSK,-48,MLE,0.19398082792758942,0.0
8CSK,-50,FNN,0.6171875,0.0234375
8CSK,-50,KAN,0.0515625,0.02425652296290629
8CSK,-50,MLE,0.1277521401643753,0.0
8CSK,-52,FNN,0.615625,0.028125
8CSK,-52,KAN,0.015625,0.015625
8CSK,-52,MLE,0.09108664840459824,0.0
8CSK,-54,FNN,0.6234375,0.0046875
8CSK,-54,KAN,0.0046875,0.007160274523368499
8CSK,-54,MLE,0.07111150771379471,0.0
8CSK,-56,FNN,0.625,0.0
8CSK,-56,KAN,0.0015625,0.004687500000000001
8CSK,-56,MLE,0.05211292952299118,0.0
8CSK,-58,FNN,0.625,0.0
8CSK,-58,KAN,0.0,0.0
8CSK,-58,MLE,0.04367898032069206,0.0
8CSK,-60,FNN,0.625,0.0
8CSK,-60,KAN,0.0,0.0
8CSK,-60,MLE,0.031693894416093826,0.0
