Dataset,Train_Size,Model,Mean_SER,Std_SER
4CSK,8,KAN,0.19947265625,0.039299724012963715
4CSK,16,KAN,0.170810546875,0.02511155796591167
4CSK,32,KAN,0.156083984375,0.01587630847734825
4CSK,48,KAN,0.14982421875,0.012790493558259087
4CSK,64,KAN,0.146533203125,0.012413008302420763
4CSK,80,KAN,0.146123046875,0.00960478386099122
4CSK,96,KAN,0.142900390625,0.009914928016728327
4CSK,112,KAN,0.14109375,0.0098293623152975
4CSK,128,KAN,0.142529296875,0.01059862790854086
4CSK,144,KAN,0.140380859375,0.010127452223718518
4CSK,160,KAN,0.14025390625,0.009205395352121885
4CSK,176,KAN,0.138515625,0.009771209340835037
4CSK,192,KAN,0.138046875,0.009183343686780499
4CSK,208,KAN,0.141689453125,0.010522518715401118
4CSK,224,KAN,0.138662109375,0.009337791354575865
4CSK,240,KAN,0.138564453125,0.01049692944634352
4CSK,256,KAN,0.13818359375,0.008661729531201012
4CSK,272,KAN,0.137080078125,0.009354281101220677
4CSK,288,KAN,0.138359375,0.00962484463653018
4CSK,304,KAN,0.1375,0.007743838906874612
4CSK,320,KAN,0.138271484375,0.009531465121483711
4CSK,336,KAN,0.136982421875,0.009502163891547344
4CSK,352,KAN,0.134765625,0.009213907295305525
4CSK,368,KAN,0.137275390625,0.010594920045947932
4CSK,384,KAN,0.13814453125,0.010258481122296976
4CSK,400,KAN,0.1370703125,0.009505841517152426
4CSK,416,KAN,0.13755859375,0.010127117924466699
4CSK,432,KAN,0.136796875,0.00980818849347001
4CSK,448,KAN,0.135703125,0.01030717191904501
4CSK,464,KAN,0.137958984375,0.008941660306228505
4CSK,480,KAN,0.138720703125,0.008361308507043091
4CSK,496,KAN,0.1363671875,0.008751569334714345
4CSK,512,KAN,0.13716796875,0.009784571464561808
4CSK,528,KAN,0.137763671875,0.009930497875505534
4CSK,544,KAN,0.137177734375,0.009124935411198533
4CSK,560,KAN,0.137392578125,0.00975164526727163
4CSK,576,KAN,0.13626953125,0.010456444639411158
4CSK,592,KAN,0.13712890625,0.00981256297874893
4CSK,608,KAN,0.13619140625,0.009556770553033085
4CSK,624,KAN,0.137763671875,0.009255478963220815
4CSK,640,KAN,0.135546875,0.010554106317270544
4CSK,656,KAN,0.136728515625,0.009725008307995225
4CSK,672,KAN,0.138095703125,0.009512435604083014
4CSK,688,KAN,0.13576171875,0.011282555840064773
4CSK,704,KAN,0.137041015625,0.00845734135365345
4CSK,720,KAN,0.137216796875,0.009879699940623097
4CSK,736,KAN,0.135634765625,0.009412456707899175
4CSK,752,KAN,0.13685546875,0.00931890362229805
4CSK,768,KAN,0.135556640625,0.010040748543666387
